Time;Frame;Speed;DistanceToOptimalPath;Position;Rotation;SteeringInput;UpcomingOperation;ThrottleInput;BrakeInput;TrackProgress
0;54;0,03041573;1000;(-0.001, 0.080, -59.303);(0.026, 0.064, 0.000);0;Left;0;2800;Unkown
0;55;0,04363864;1000;(-0.001, 0.081, -59.303);(0.026, 0.064, 0.000);0;Left;0;2800;Unkown
0;56;0,04372779;1000;(-0.001, 0.082, -59.303);(0.022, 0.064, 0.000);0;Left;0;2800;Unkown
0;57;0,04047681;1000;(-0.001, 0.083, -59.303);(0.017, 0.064, 0.000);0;Left;0;2800;Unkown
0;58;0,03480063;1000;(-0.001, 0.084, -59.303);(0.011, 0.064, 0.000);0;Left;0;2800;Unkown
0;59;0,02762715;1000;(-0.001, 0.084, -59.303);(0.006, 0.064, 0.000);0;Left;0;2800;Unkown
0;60;0,01985227;1000;(-0.001, 0.085, -59.303);(0.002, 0.064, 0.000);0;Left;0;2800;Unkown
0;61;0,00614688;1000;(-0.001, 0.085, -59.303);(-0.002, 0.064, 0.000);0;Left;0;2800;Unkown
0;62;0,004708179;1000;(-0.001, 0.085, -59.303);(-0.004, 0.064, 0.000);0;Left;0;2800;Unkown
0;63;0,007865825;1000;(-0.001, 0.085, -59.304);(359.994, 0.064, 0.000);0;Left;0;2800;Unkown
0;64;0,01079372;1000;(-0.001, 0.085, -59.304);(359.994, 0.064, 0.000);0;Left;0;2800;Unkown
0;65;0,01257135;1000;(-0.001, 0.084, -59.304);(359.994, 0.064, 0.000);0;Left;0,0647787;2800;Unkown
0;66;0,01274548;1000;(-0.001, 0.084, -59.304);(-0.005, 0.064, 0.000);0;Left;0,1277196;2800;Unkown
0;67;0,01155121;1000;(-0.001, 0.084, -59.304);(-0.004, 0.064, 0.000);0;Left;0,1960197;2800;Unkown
0;68;0,009859236;1000;(-0.001, 0.084, -59.304);(-0.003, 0.064, 0.000);0;Left;0,2612985;2800;Unkown
0;69;0,007970229;1000;(-0.001, 0.083, -59.304);(-0.002, 0.064, 0.000);0;Left;0,3283038;2800;Unkown
0;70;0,006200687;1000;(-0.001, 0.083, -59.304);(-0.001, 0.064, 0.000);0;Left;0,3949923;2800;Unkown
0;71;0,004898002;1000;(-0.001, 0.083, -59.304);(0.000, 0.064, 0.000);0;Left;0,4753113;2800;Unkown
0;72;0,009289959;1000;(-0.001, 0.083, -59.304);(0.000, 0.064, 0.000);0;Left;0,5495461;2800;Unkown
0;73;0,02536232;1000;(-0.001, 0.083, -59.304);(-0.005, 0.064, 0.000);0;Left;0,6184291;2800;Unkown
0;74;0,04470415;1000;(-0.001, 0.083, -59.304);(359.985, 0.064, 0.000);0;Left;0,6780634;2800;Unkown
0;75;0,06840241;1000;(-0.001, 0.083, -59.302);(359.969, 0.064, 0.000);0;Left;0,7524586;2800;Unkown
0;76;0,09786952;1000;(-0.001, 0.083, -59.300);(359.948, 0.064, 0.000);0;Left;0,826501;2800;Unkown
0;77;0,1347252;1000;(-0.001, 0.083, -59.297);(359.925, 0.064, 0.000);0;Left;0,8915887;2800;Unkown
0;78;0,1743903;1000;(-0.001, 0.083, -59.293);(359.897, 0.064, 0.000);0;Left;0,9636394;2800;Unkown
0;79;0,2605868;1000;(-0.001, 0.082, -59.288);(359.869, 0.064, 0.000);0;Left;1;2800;Unkown
0;80;0,3184133;1000;(-0.001, 0.082, -59.281);(359.839, 0.064, 0.000);0;Left;1;2800;Unkown
0;81;0,3821105;1000;(-0.001, 0.082, -59.273);(359.812, 0.064, 0.000);0;Left;1;2800;Unkown
0;82;0,4476058;1000;(-0.001, 0.082, -59.265);(359.786, 0.064, 0.000);0;Left;1;2800;Unkown
0;83;0,5140817;1000;(-0.001, 0.081, -59.252);(359.753, 0.064, 0.000);0;Left;1;2800;Unkown
0;84;0,580391;1000;(-0.001, 0.081, -59.239);(359.729, 0.064, 0.000);0;Left;1;2800;Unkown
0;85;0,7135697;1000;(-0.001, 0.081, -59.223);(359.709, 0.064, 0.000);0;Left;1;2800;Unkown
0;86;0,7817225;1000;(-0.001, 0.081, -59.207);(359.697, 0.064, 0.000);0;Left;1;2800;Unkown
0;87;0,8498242;1000;(-0.001, 0.081, -59.188);(359.689, 0.064, 0.000);0;Left;1;2800;Unkown
0;88;0,9170799;1000;(-0.001, 0.081, -59.164);(359.687, 0.064, 0.000);0;Left;1;2800;Unkown
0;89;0,9840878;1000;(-0.001, 0.081, -59.143);(359.689, 0.064, 0.000);0;Left;1;2800;Unkown
0;90;1,051262;1000;(-0.001, 0.081, -59.121);(359.693, 0.064, 0.000);0;Left;1;2800;Unkown
0;91;1,184149;1000;(-0.001, 0.081, -59.096);(359.699, 0.064, 0.000);0;Left;1;2800;Unkown
0;92;1,248145;1000;(-0.001, 0.081, -59.070);(359.706, 0.064, 0.000);0;Left;1;2800;Unkown
0;93;1,313623;1000;(-0.001, 0.081, -59.040);(359.714, 0.064, 0.000);0;Left;1;2800;Unkown
0;94;1,37916;1000;(0.000, 0.081, -59.009);(359.721, 0.064, 0.000);0;Left;1;2800;Unkown
0;95;1,444525;1000;(0.000, 0.081, -58.973);(359.727, 0.064, 0.000);0;Left;1;2800;Unkown
0;96;1,509332;1000;(0.000, 0.081, -58.938);(359.732, 0.064, 0.000);0;Left;1;2800;Unkown
0;97;1,574224;1000;(0.000, 0.081, -58.905);(359.734, 0.064, 0.000);0;Left;1;2800;Unkown
0;98;1,639371;1000;(0.000, 0.081, -58.872);(359.735, 0.064, 0.000);0;Left;1;2800;Unkown
0;99;1,769547;1000;(0.000, 0.081, -58.834);(359.736, 0.064, 0.000);0;Left;1;2800;Unkown
0;100;1,834517;1000;(0.000, 0.081, -58.793);(359.735, 0.064, 0.000);0;Left;1;2800;Unkown
0;101;1,899912;1000;(0.000, 0.081, -58.749);(359.734, 0.064, 0.000);0;Left;1;2800;Unkown
0;102;1,965394;1000;(0.000, 0.081, -58.705);(359.732, 0.064, 0.000);0;Left;1;2800;Unkown
0;103;2,030829;1000;(0.000, 0.081, -58.655);(359.730, 0.064, 0.000);0;Left;1;2800;Unkown
