Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
32381;1000003932944903100;63731540519067;(-0.289, -0.174, -0.204);(13.193, 11.420, 2.664);VALID;-0.023343788459897, 0.00795499794185162, 0.999695837497711;0, 0, 0;VALID;-0.0208794344216585, 0.00458026304841042, 0.999771535396576;-0.0323067493736744, 0, 0;0.194945588707924;VALID;-0.025807736441493, 0.0113295940682292, 0.999602735042572;0.0323067493736744, 0, 0;0.202176198363304;2;1
32382;1000003932954914500;63731540519067;(-0.289, -0.174, -0.204);(13.193, 11.420, 2.664);VALID;-0.0276755671948195, 0.0102198421955109, 0.999564707279205;0, 0, 0;VALID;-0.0237985998392105, 0.00752856722101569, 0.999688446521759;-0.0323067493736744, 0, 0;0.19846747815609;VALID;-0.0315519198775291, 0.0129108894616365, 0.99941873550415;0.0323067493736744, 0, 0;0.201778143644333;2;1
32383;1000003932965018400;63731540519087;(-0.289, -0.174, -0.204);(13.158, 11.422, 2.663);VALID;-0.0350935682654381, 0.0182499531656504, 0.999217391014099;0, 0, 0;VALID;-0.0293496828526258, 0.0159340500831604, 0.999442219734192;-0.0323067493736744, 0, 0;0.196491494774818;VALID;-0.0408361069858074, 0.0205651540309191, 0.998954176902771;0.0323067493736744, 0, 0;0.201153129339218;2;0.993637323379517
32384;1000003932975037100;63731540519087;(-0.289, -0.174, -0.204);(13.158, 11.422, 2.663);VALID;-0.0440326184034348, 0.0327681452035904, 0.998492538928986;0, 0, 0;VALID;-0.0357861146330833, 0.0314851105213165, 0.998863399028778;-0.0323067493736744, 0, 0;0.19456073641777;VALID;-0.0522760488092899, 0.0340488962829113, 0.998052060604095;0.0323067493736744, 0, 0;0.19937127828598;2;0.750898480415344
32385;1000003932985010500;63731540519107;(-0.289, -0.174, -0.204);(13.167, 11.416, 2.683);VALID;-0.053156141191721, 0.051202867180109, 0.997272610664368;0, 0, 0;VALID;-0.0429934374988079, 0.0498067401349545, 0.997833073139191;-0.0323067493736744, 0, 0;0.195301249623299;VALID;-0.0633132383227348, 0.0525935888290405, 0.996606945991516;0.0323067493736744, 0, 0;0.198536932468414;2;0.456893384456635
32386;1000003932995082700;63731540519107;(-0.289, -0.174, -0.204);(13.167, 11.416, 2.683);VALID;-0.0603832080960274, 0.0665593445301056, 0.995953679084778;0, 0, 0;VALID;-0.0491448082029819, 0.0652172714471817, 0.996660172939301;-0.0323067493736744, 0, 0;0.19488799571991;VALID;-0.0716138482093811, 0.0678928568959236, 0.995119094848633;0.0323067493736744, 0, 0;0.197228580713272;2;0.214316964149475
32387;1000003933005068700;63731540519128;(-0.289, -0.174, -0.204);(13.179, 11.417, 2.708);VALID;-0.0662380158901215, 0.0765783488750458, 0.994860947132111;0, 0, 0;VALID;-0.0539319030940533, 0.07459557056427, 0.995754420757294;-0.0323067493736744, 0, 0;0.1942028850317;VALID;-0.0785337761044502, 0.0785491615533829, 0.993812084197998;0.0323067493736744, 0, 0;0.19755794107914;2;0.0479139536619186
32388;1000003933015146200;63731540519128;(-0.289, -0.174, -0.204);(13.179, 11.417, 2.708);VALID;-0.0699660778045654, 0.0845305845141411, 0.993961453437805;0, 0, 0;VALID;-0.0571889318525791, 0.0830654203891754, 0.994901776313782;-0.0323067493736744, 0, 0;0.195449367165565;VALID;-0.0827315896749496, 0.0859817042946815, 0.992855787277222;0.0323067493736744, 0, 0;0.195997074246407;2;0
32389;1000003933025084800;63731540519148;(-0.289, -0.174, -0.204);(13.184, 11.427, 2.715);VALID;-0.0731055065989494, 0.0886903405189514, 0.993372857570648;0, 0, 0;VALID;-0.0600537955760956, 0.0870809406042099, 0.994389474391937;-0.0323067493736744, 0, 0;0.19536130130291;VALID;-0.0861445069313049, 0.0902843102812767, 0.992183387279511;0.0323067493736744, 0, 0;0.195999696850777;2;0
32390;1000003933035143700;63731540519148;(-0.289, -0.174, -0.204);(13.184, 11.427, 2.715);VALID;-0.0752411261200905, 0.0909423381090164, 0.993009686470032;0, 0, 0;VALID;-0.0618836134672165, 0.0894341617822647, 0.994068384170532;-0.0323067493736744, 0, 0;0.195231899619102;VALID;-0.0885849595069885, 0.092433974146843, 0.991770446300507;0.0323067493736744, 0, 0;0.19914847612381;2;0
32391;1000003933045151300;63731540519168;(-0.289, -0.174, -0.204);(13.195, 11.419, 2.709);VALID;-0.0770657360553741, 0.092992439866066, 0.992679834365845;0, 0, 0;VALID;-0.0637873858213425, 0.0913548171520233, 0.993773341178894;-0.0323067493736744, 0, 0;0.194728344678879;VALID;-0.0903302058577538, 0.0946132987737656, 0.991407454013824;0.0323067493736744, 0, 0;0.197674050927162;2;0
32392;1000003933055171800;63731540519168;(-0.289, -0.174, -0.204);(13.195, 11.419, 2.709);VALID;-0.0778617709875107, 0.0942878127098084, 0.992495536804199;0, 0, 0;VALID;-0.0646452456712723, 0.0926995575428009, 0.993593394756317;-0.0323067493736744, 0, 0;0.194957256317139;VALID;-0.0910644084215164, 0.0958592519164085, 0.991220593452454;0.0323067493736744, 0, 0;0.197288691997528;2;0
32393;1000003933065197800;63731540519189;(-0.289, -0.174, -0.204);(13.209, 11.392, 2.697);VALID;-0.0782353058457375, 0.0949023440480232, 0.992407560348511;0, 0, 0;VALID;-0.0645891651511192, 0.093049943447113, 0.993564248085022;-0.0323067493736744, 0, 0;0.194523125886917;VALID;-0.0918665081262589, 0.0967366173863411, 0.991061329841614;0.0323067493736744, 0, 0;0.197212159633636;2;0
32394;1000003933075150400;63731540519189;(-0.289, -0.174, -0.204);(13.209, 11.392, 2.697);VALID;-0.078530415892601, 0.0955352783203125, 0.992323517799377;0, 0, 0;VALID;-0.0645003542304039, 0.093465156853199, 0.993531048297882;-0.0323067493736744, 0, 0;0.194639340043068;VALID;-0.0925445705652237, 0.0975860506296158, 0.990914940834045;0.0323067493736744, 0, 0;0.198046758770943;2;0
32395;1000003933085153200;63731540519211;(-0.289, -0.174, -0.204);(13.250, 11.355, 2.668);VALID;-0.0782272815704346, 0.0962411388754845, 0.992279291152954;0, 0, 0;VALID;-0.0637718364596367, 0.0945664346218109, 0.993473887443542;-0.0323067493736744, 0, 0;0.195843636989594;VALID;-0.0926660373806953, 0.0978953242301941, 0.990873098373413;0.0323067493736744, 0, 0;0.19906722009182;2;0
