Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName
421689;1000095924998147721;63853880421487;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421709;1000095925098186885;63853880421575;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421729;1000095925198223266;63853880421687;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421749;1000095925298266459;63853880421776;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421769;1000095925398306284;63853880421887;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421789;1000095925498349335;63853880421976;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421809;1000095925598383971;63853880422087;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421829;1000095925698426192;63853880422175;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421849;1000095925798464561;63853880422286;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421869;1000095925898503381;63853880422375;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421889;1000095925998545160;63853880422486;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421909;1000095926098587891;63853880422576;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421929;1000095926198624627;63853880422687;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421949;1000095926298669383;63853880422776;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421969;1000095926398709434;63853880422887;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421989;1000095926498747272;63853880422976;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422009;1000095926598782569;63853880423087;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422029;1000095926698824958;63853880423175;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422049;1000095926798863658;63853880423287;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422069;1000095926898901662;63853880423376;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422089;1000095926998943811;63853880423486;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422109;1000095927098985427;63853880423576;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422129;1000095927199022375;63853880423687;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422149;1000095927299060277;63853880423776;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422169;1000095927399101072;63853880423887;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422189;1000095927499140709;63853880423976;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422209;1000095927599176419;63853880424087;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422229;1000095927699218618;63853880424176;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422249;1000095927799257810;63853880424287;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422269;1000095927899298248;63853880424376;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422289;1000095927999340954;63853880424487;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422309;1000095928099381450;63853880424576;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422329;1000095928199419274;63853880424687;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422349;1000095928299455067;63853880424776;(-0.305, 0.826, 0.361);(0.034, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
