Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
18806;1000947043761345954;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18807;1000947043766340764;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18808;1000947043771335758;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18809;1000947043776293816;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18810;1000947043781291885;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18811;1000947043786252602;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18812;1000947043791214670;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18813;1000947043796215466;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18814;1000947043801216231;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18815;1000947043806216976;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18816;1000947043811217709;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18817;1000947043816218422;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18818;1000947043821219115;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18819;1000947043826219781;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18820;1000947043831219840;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18821;1000947043836219907;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18822;1000947043841219982;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18823;1000947043846220061;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18824;1000947043851220153;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18825;1000947043856184297;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18826;1000947043861150559;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18827;1000947043866117997;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18828;1000947043871119563;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18829;1000947043876121124;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18830;1000947043881122680;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18831;1000947043886124232;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18832;1000947043891125779;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18833;1000947043896127322;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18834;1000947043901128944;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18835;1000947043906130479;63852426924607;(0.046, 1.319, -0.079);(-0.068, -0.123, -0.020, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18836;1000947043911131956;63852426924607;(0.046, 1.319, -0.079);(-0.068, -0.123, -0.020, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18837;1000947043916133428;63852426924607;(0.046, 1.319, -0.079);(-0.068, -0.123, -0.020, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18838;1000947043921134896;63852426924607;(0.046, 1.319, -0.079);(-0.068, -0.123, -0.020, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18839;1000947043926136359;63852426924607;(0.046, 1.319, -0.079);(-0.068, -0.123, -0.020, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18840;1000947043931105242;63852426924607;(0.046, 1.319, -0.079);(-0.068, -0.123, -0.020, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18841;1000947043936076648;63852426924607;(0.046, 1.319, -0.079);(-0.068, -0.123, -0.020, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18842;1000947043941049338;63852426924638;(0.047, 1.312, -0.078);(-0.051, -0.121, -0.022, 0.991);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18843;1000947043946051116;63852426924638;(0.047, 1.312, -0.078);(-0.051, -0.121, -0.022, 0.991);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18844;1000947043951052889;63852426924638;(0.047, 1.312, -0.078);(-0.051, -0.121, -0.022, 0.991);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18845;1000947043956054658;63852426924638;(0.047, 1.312, -0.078);(-0.051, -0.121, -0.022, 0.991);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18846;1000947043961056422;63852426924638;(0.047, 1.312, -0.078);(-0.051, -0.121, -0.022, 0.991);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18847;1000947043966058179;63852426924638;(0.047, 1.312, -0.078);(-0.051, -0.121, -0.022, 0.991);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18848;1000947043971059930;63852426924660;(0.047, 1.306, -0.078);(-0.035, -0.119, -0.026, 0.992);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
